School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Sunny Wolf Charter School – Wolf Creek,Sunny Wolf Charter School,Three Rivers/Josephine County SD,Southern Oregon ESD,,100 Ruth Ave,Wolf Creek,OR,97497,Josephine,541-866-2735,K,5,Elementary,Public,Charter,4823,Principal,Sarah McNamara,sunnywolfcharterschool@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,81,93,50,53.8%,43,46.2%,4,4.3%,,0%,1,1.1%,1,1.1%,6,6.5%,73,78.5%,8,8.6%,12,11,15,20,20,15,,,,,,,,false,
Sunnyside Elementary School – Clackamas,Sunnyside Elementary School,North Clackamas SD 12,Clackamas ESD,,13401 SE 132nd Ave,Clackamas,OR,97015,Clackamas,503-353-5620,K,5,Elementary,Public,Regular School,78,Principal,Jennifer Dove-Kiltow,kiltowj@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,559,558,280,50.2%,278,49.8%,1,0.2%,69,12.4%,2,0.4%,21,3.8%,89,15.9%,332,59.5%,44,7.9%,79,83,110,74,112,100,,,,,,,,false,
Sunnyside Environmental School – Portland,Sunnyside Environmental School,Portland SD 1J,Multnomah ESD,,3421 SE Salmon St,Portland,OR,97214,Multnomah,503-916-6226,K,8,Other,Public,Regular School,893,Principal,Amy Kleiner,akleiner@pps.net,,,Yes,85,6th grade,"Camp Howard, Camp Namanu",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,575,602,291,48.3%,311,51.7%,6,1%,11,1.8%,1,0.2%,8,1.3%,43,7.1%,465,77.2%,68,11.3%,65,54,73,65,69,63,85,63,65,,,,,true,
Sunnyslope Elementary School – Roseburg,Sunnyslope Elementary School,Douglas County SD 4,Douglas ESD,,2230 SW Cannon Rd,Roseburg,OR,97471,Douglas,541-440-4192,K,5,Elementary,Public,Regular School,276,Principal,Don Schrader,dschrader@roseburg.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,267,270,143,53%,127,47%,5,1.9%,1,0.4%,,0%,,0%,18,6.7%,217,80.4%,29,10.7%,43,40,42,54,49,42,,,,,,,,false,
Sunridge Middle School – Pendleton,Sunridge Middle School,Pendleton SD 16,InterMountain ESD,McKay Creek Elementary School – Pendleton,700 SW Runnion Ave,Pendleton,OR,97801,Umatilla,541-966-3416,6,8,Middle,Public,Regular School,1051,Principal,David Williams,david.williams@pendleton.k12.or.us,,,Yes,250,6th grade,Kiwanis Camp,3,2,"InterMountain ESD, Self","Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,45,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,We have an awesome program in a very supportive community.,,732,770,377,49%,393,51%,97,12.6%,7,0.9%,2,0.3%,2,0.3%,111,14.4%,493,64%,58,7.5%,,,,,,,253,272,245,,,,,true,"McKay Creek Elementary School – Pendleton, Sherwood Heights Elementary School – Pendleton, Washington Elementary School – Pendleton"
Sunrise Elementary School – Albany,Sunrise Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,,730 19th Ave SE,Albany,OR,97322,Linn,541-967-4608,K,5,Elementary,Public,Regular School,644,Principal,Pat Weidmann,pat.weidmann@albany.k12.or.us,,,Yes,75,5th grade,Camp Koinonia,4,,Calapooia Watershed Council,"Yes, and it CONNECTS TO STATE STANDARDS","We use curriculum developed by an outside provider, Developed by Calapooia Watershed Council in collaboration with our 5th grade teachers","State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,2,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,416,414,220,53.1%,194,46.9%,3,0.7%,1,0.2%,1,0.2%,1,0.2%,156,37.7%,230,55.6%,22,5.3%,63,53,55,88,75,80,,,,,,,,true,
Sunset Elementary School – Hermiston,Sunset Elementary School,Hermiston SD 8,InterMountain ESD,,300 E Catherine Ave,Hermiston,OR,97838,Umatilla,541-667-6700,K,5,Elementary,Public,Regular School,1037,Principal,Devin Grigg,devin.grigg@hermiston.k12.or.us,,,Yes,150,5th grade,Camp Meadowood Springs,3,2,,,,,,,,,,,,,,,,,591,607,298,49.1%,309,50.9%,2,0.3%,9,1.5%,2,0.3%,4,0.7%,403,66.4%,177,29.2%,10,1.6%,105,95,103,107,98,99,,,,,,,,false,
Sunset Primary School – West Linn,Sunset Primary School,West Linn-Wilsonville SD 3J,Clackamas ESD,,2351 Oxford St,West Linn,OR,97068,Clackamas,503-673-7200,K,5,Elementary,Public,Regular School,48,Principal,Lisa Hawking,hawkingl@wlwv.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,305,316,160,50.6%,156,49.4%,,0%,14,4.4%,,0%,2,0.6%,20,6.3%,252,79.7%,28,8.9%,46,55,61,45,52,57,,,,,,,,false,
Sunset School – Coos Bay,Sunset School,Coos Bay SD 9,South Coast ESD,,245 S Cammann,Coos Bay,OR,97420,Coos,541-888-1242,4,7,Other,Public,Regular School,199,Principal,Shelly McKnight,shellym@coos-bay.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,427,429,225,52.4%,204,47.6%,26,6.1%,,0%,1,0.2%,2,0.5%,74,17.2%,302,70.4%,24,5.6%,,,,,115,102,110,102,,,,,,false,
Sunstone Montessori School – Portland,Sunstone Montessori School,,,,6318 SW Corbett Ave,Portland,OR,97239,Multnomah,503-768-3847,PK,6,Elementary,Private,Regular School,,,,,,,Yes,,"4th grade, 5th grade, 6th grade",OMSI,7,6,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,15,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,we love it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Suntex Elementary School – Riley,Suntex Elementary School,Suntex SD 10,Harney ESD,,68178 Silver Creek Rd,Riley,OR,97758,Harney,541-493-2500,K,8,Elementary,Public,Regular School,349,Head Teacher,Debra Raymond,jopie@centurytel.net,,,,,,,,,,,,,,,,,,,,,,,,,14,10,5,50%,5,50%,,0%,,0%,,0%,,0%,,0%,10,100%,,0%,,1,2,,2,2,1,2,,,,,,false,
Sutherlin Adventist Christian School – Sutherlin,Sutherlin Adventist Christian School,,,,845 W Central Ave,Sutherlin,OR,97479,Douglas,541-459-9940,PK,8,Other,Private,Regular School,,,,sutherlinsda@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Sutherlin Valley Online Academy – Sutherlin,Sutherlin Valley Online Academy,Sutherlin SD 130,Douglas ESD,,450 Hawthorne St,Sutherlin,OR,97479,Douglas,,3,12,Other,Public,Regular School,5357,Principal,Jon Martz,jon.martz@sutherlin.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,Opened 16-17,42,23,54.8%,19,45.2%,,0%,,0%,,0%,2,4.8%,3,7.1%,34,81%,3,7.1%,,,,,,,1,,1,4,3,7,26,false,
Swallowtail School – Hillsboro,Swallowtail School,,,,PO Box 3753,Hillsboro,OR,97123,Washington,503-846-0336,K,8,Other,Private,Regular School,,,,info@swallowtailschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Sweet Home Charter School – Sweet Home,Sweet Home Charter School,Sweet Home SD 55,Linn Benton Lincoln ESD,,28721 Liberty Rd,Sweet Home,OR,97386,Linn,541-367-1833,K,6,Elementary,Public,Charter,4484,Principal,Scott Richards,srichards@piecharters.org,,,Yes,13,6th grade,Camp Tadmor,3,2,STEWARDS,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,,,6,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Outdoor School is a wonderful experience for students and staff!,,154,142,78,54.9%,64,45.1%,2,1.4%,1,0.7%,,0%,,0%,10,7%,118,83.1%,11,7.7%,21,26,21,19,24,18,13,,,,,,,true,
Sweetbriar Elementary School – Troutdale,Sweetbriar Elementary School,Reynolds SD 7,Multnomah ESD,,501 SE SWeetbriar Ln,Troutdale,OR,97060,Multnomah,503-666-9441,K,5,Elementary,Public,Regular School,950,Principal,Marie Marianiello,mmarianiello@rsd7.net,,,,,,,,,,,,,,,,,,,,,,,,,421,408,213,52.2%,195,47.8%,2,0.5%,15,3.7%,2,0.5%,9,2.2%,97,23.8%,249,61%,34,8.3%,70,72,66,71,67,62,,,,,,,,false,
Swegle Elementary School – Salem,Swegle Elementary School,Salem-Keizer SD 24J,Willamette ESD,,1751 Aguilas Ct NE,Salem,OR,97301,Marion,503-399-3191,K,5,Elementary,Public,Regular School,762,Principal,Suzanne West,west_suzanne@salkeiz.k12.or.us,,,Yes,,,Canyonview Camp,,,,,,,,,,,,,,,,,,,582,546,309,56.6%,237,43.4%,7,1.3%,17,3.1%,27,4.9%,,0%,342,62.6%,140,25.6%,13,2.4%,77,94,88,93,93,101,,,,,,,,false,
Table Rock Elementary School – White City,Table Rock Elementary School,Eagle Point SD 9,Southern Oregon ESD,,2830 Maple Court Dr,White City,OR,97503,Jackson,541-830-1350,K,5,Elementary,Public,Regular School,394,Principal,Jose-de-Jesus Melendez,melendezj@eaglepnt.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,732,770,408,53%,362,47%,2,0.3%,1,0.1%,2,0.3%,,0%,380,49.4%,348,45.2%,37,4.8%,137,121,146,132,122,112,,,,,,,,false,
Taft Elementary School – Lincoln City,Taft Elementary School,Lincoln County SD,Linn Benton Lincoln ESD,,4040 High School Dr,Lincoln City,OR,97367,Lincoln,541-996-2136,3,6,Elementary,Public,Regular School,620,Principal,Nick Lupo,nick.lupo@lincoln.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,550,531,272,51.2%,259,48.8%,9,1.7%,6,1.1%,1,0.2%,3,0.6%,125,23.5%,345,65%,42,7.9%,,,,128,143,129,131,,,,,,,false,
Talent Elementary School – Talent,Talent Elementary School,Phoenix-Talent SD 4,Southern Oregon ESD,,307 W Wagner Ave,Talent,OR,97540,Jackson,541-535-1531,K,5,Elementary,Public,Regular School,372,Principal,Curt Shenk,curt.shenk@phoenix.k12.or.us,,,Yes,71,"4th grade, 5th grade",Deer Creek Center,3,2,Southern Oregon University,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,10,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"I am not sure if I responded correctly to all the questions.  My teachers work with Southern Oregon University Environmental Studies Students who provide the outdoor experience.  The number of years may be greater than ten, I have only been here for 5 and I know they have been doing outdoor school much longer than that.",,489,484,251,51.9%,233,48.1%,10,2.1%,2,0.4%,1,0.2%,4,0.8%,129,26.7%,316,65.3%,22,4.5%,69,88,75,79,93,80,,,,,,,,true,
Talent Middle School – Talent,Talent Middle School,Phoenix-Talent SD 4,Southern Oregon ESD,,102 Christian Ave,Talent,OR,97540,Jackson,541-535-1552,6,8,Middle,Public,Regular School,373,Principal,Aaron Santi,aaron.santi@phoenix.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,550,551,291,52.8%,260,47.2%,10,1.8%,3,0.5%,6,1.1%,4,0.7%,218,39.6%,281,51%,29,5.3%,,,,,,,206,181,164,,,,,false,
Talmadge Middle School – Independence,Talmadge Middle School,Central SD 13J,Willamette ESD,,51 16th Street,Independence,OR,97351,Polk,503-606-2252,6,8,Middle,Public,Regular School,1001,Principal,Perry LaBounty,plabounty@central.k12.or.us,,,No,,,,,,,,,,,,Yes,2014-2015 school year,Polk Soil & Water Commission Organized,Polk Soil & Water discontinued organization of Outdoor Schools for the county,NOT AT ALL interested,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,729,785,404,51.5%,381,48.5%,10,1.3%,9,1.1%,3,0.4%,3,0.4%,319,40.6%,402,51.2%,39,5%,,,,,,,279,259,247,,,,,false,
Tangent Elementary School – Tangent,Tangent Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,,32100 Old Oak Dr,Tangent,OR,97389,Linn,541-967-4616,K,5,Elementary,Public,Regular School,646,Principal,Lori Greenfield,lori.greenfield@albany.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,160,159,75,47.2%,84,52.8%,1,0.6%,1,0.6%,,0%,3,1.9%,24,15.1%,125,78.6%,5,3.1%,25,28,29,23,31,23,,,,,,,,false,
Terra Linda Elementary School – Portland,Terra Linda Elementary School,Beaverton SD 48J,Northwest Regional ESD,,1998 NW 143rd Ave,Portland,OR,97229,Washington,503-356-2520,K,5,Elementary,Public,Regular School,1176,Principal,Christy Batsell,christina_batsell@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,424,413,236,57.1%,177,42.9%,2,0.5%,23,5.6%,4,1%,5,1.2%,77,18.6%,279,67.6%,23,5.6%,65,69,67,58,65,89,,,,,,,,false,
Terrebonne Community School – Terrebonne,Terrebonne Community School,Redmond SD 2J,High Desert ESD,,1199  B  Ave,Terrebonne,OR,97760,Deschutes,541-923-4856,K,8,Other,Public,Regular School,260,Principal,Trevor Flaherty,trevor.flaherty@redmondschools.org,,,Yes,55,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",I assume the camp,"We do not staff it from the school, the camp uses high school counselors",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,3,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"I think this is important for many reasons for kids to take part in this experience.  I am disappointed that Measure 99 was billed as a way to pay for this, however it was an unfunded mandate and there is still no substantive way to pay for it yet without taking from other programs.  Where then does the money come from?  I work in a high poverty school and we charge 100 dollars for those that can pay.  In my current format it is cost prohibitive and there is potential from year to year we cannot cover the cost of the program.",,428,400,210,52.5%,190,47.5%,6,1.5%,1,0.3%,,0%,2,0.5%,34,8.5%,348,87%,9,2.3%,48,40,51,55,61,62,24,29,30,,,,,true,
Territorial Elementary School – Junction City,Territorial Elementary School,Junction City SD 69,Lane ESD,,92609 Territorial Rd,Junction City,OR,97448,Lane,541-998-8371,K,5,Elementary,Public,Regular School,1297,Principal,Dina Marschall,dmarschall@junctioncity.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,132,129,67,51.9%,62,48.1%,3,2.3%,,0%,,0%,1,0.8%,11,8.5%,107,82.9%,7,5.4%,20,25,26,19,27,12,,,,,,,,false,
The Child Center – Springfield,The Child Center,Springfield SD 19,,,3995 Marcola Rd,Springfield,OR,97477,Lane,541-726-1465,PK,8,Other,Public,LTCT,1252,Director,Bill Wellard,,,,,,,,,,,,,,,,,,,,,,,,,,29,33,26,78.8%,7,21.2%,1,3%,,0%,,0%,1,3%,4,12.1%,26,78.8%,1,3%,1,4,5,3,5,6,2,6,1,,,,,false,
The Childrens Hour Academy – Lake Oswego,The Childrens Hour Academy,,,,17650 SW 65Th Avenue,Lake Oswego,OR,97035,Clackamas,503-635-2139,PK,6,Elementary,Private,Regular School,,,,info@childrens-hour.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Community Roots School – Silverton,The Community Roots School,Silver Falls SD 4J,Willamette ESD,,330 N James St,Silverton,OR,97381,Marion,503-874-4107,K,6,Elementary,Public,Charter,4746,Principal,Miranda Traeger,traeger_miranda@silverfalls.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,95,102,50,49%,52,51%,,0%,1,1%,,0%,,0%,8,7.8%,87,85.3%,6,5.9%,17,16,16,12,16,13,12,,,,,,,false,
The Dalles Middle School – The Dalles,The Dalles Middle School,North Wasco County SD 21,Columbia Gorge ESD,,1100 E 12th St,The Dalles,OR,97058,Wasco,541-506-3380,6,8,Middle,Public,Regular School,1100,Principal,Sandra Harris,harrissg@nwasco.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,613,590,325,55.1%,265,44.9%,9,1.5%,2,0.3%,9,1.5%,1,0.2%,226,38.3%,320,54.2%,23,3.9%,,,,,,,188,207,195,,,,,false,
The Dome School – Cave Junction,The Dome School,,,,9367 Takilma Rd,Cave Junction,OR,97523,Josephine,541-592-3911,PK,5,Elementary,Private,Regular School,,Project Director,,thedomeschool@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The International School – Portland,The International School,,,,025 SW Sherman St,Portland,OR,97201,Multnomah,503-226-2496,PK,5,Elementary,Private,Regular School,,,,candyt@intlschool.org,,,No,,,,,,,,,,,,I'm not sure,,,,I'm not sure,Not sure at this point,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,I am new to the Portland area and this is my first year at The International School.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Ivy Montessori Public Charter Elementary School – Portland,The Ivy Montessori Public Charter Elementary School,Oregon Department of Education,Oregon Department of Education,,4212 NE Prescott St,Portland,OR,97218,Multnomah,503-288-8820,1,8,Elementary,Public,Charter School,4720,Director,Liz Caravaca,liz@theivyschool.org,,,No,,,,,,,,,,,,I'm not sure,,,,VERY interested,2017/2018 school year,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"We do arrange for overnight experiences for our students, but I don't believe these  technically qualify as ""capital O, capital S""  Outdoor School . I look forward to learning more.",,261,268,138,51.5%,130,48.5%,5,1.9%,6,2.2%,,0%,5,1.9%,29,10.8%,207,77.2%,16,6%,,36,38,40,51,44,19,22,18,,,,,false,
The Madeleine Elementary School – Portland,The Madeleine Elementary School,,,,3240 NE 23Rd Ave,Portland,OR,97212,Multnomah,503-288-9197,K,8,Elementary,Private,Regular School,,,,ssteele@themadeleine.edu,,,Yes,30,6th grade,Camp Arrah Wanna,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
The Marylhurst School – Oregon City,The Marylhurst School,,,,817 12Th St,Oregon City,OR,97045,Clackamas,503-650-0978,PK,8,Other,Private,Regular School,,,,sheilaw@themarylhurstschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Phonics Phactory – Gresham,The Phonics Phactory,,,,PO Box 2128,Gresham,OR,97030,Multnomah,503-661-5632,PK,10,Other,Private,Regular School,,,,phonicsphactory@phonicsphactory.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Portland Montessori School – Portland,The Portland Montessori School,,,,4911 NE Couch St,Portland,OR,97213,Multnomah,503-688-2992,PK,6,Elementary,Private,Regular School,,,,info@portlandmontessori.org,,,No,,,,,,,,,,,,No,,,,A BIT interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Siskiyou School – Ashland,The Siskiyou School,,,,631 Clay St,Ashland,OR,97520,Jackson,541-482-8223,1,8,Other,Private,Regular School,,,Magda Paz,magda.paz@siskiyouschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Triad School – Klamath Falls,The Triad School,,,,2450 Summers Ln,Klamath Falls,OR,97603,Klamath,541-885-7940,PK,12,Other,Private,Regular School,,,,info@triadschool.com,,,Yes,72,"K, 1st grade, 2nd grade, 3rd grade, 4th grade, 5th grade",Mountain Lakes Bible Camp,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
The Valley School of Southern Oregon – Medford,The Valley School of Southern Oregon,Medford SD 549C,Southern Oregon ESD,,1253 N Riverside Ave,Medford,OR,97501,Jackson,541-613-3306,6,8,Middle,Public,Charter,5304,Director,Amy Maukonen,info@thevalleyschool.education,,,Yes,100,"6th grade, 7th grade, 8th grade",Siskiyou Field Institute,3,2,,"Yes, and it CONNECTS TO STATE STANDARDS",,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,2,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,74,100,60,60%,40,40%,,0%,3,3%,,0%,,0%,6,6%,88,88%,3,3%,,,,,,,33,44,23,,,,,true,
The Waldorf School Of Bend – Bend,The Waldorf School Of Bend,,,,"2150 NE Studio Rd, Ste 2",Bend,OR,97701,Deschutes,541-330-8841,PK,8,Other,Private,Regular School,,,,info@bendwaldorf.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Theodore Roosevelt Middle School – Eugene,Theodore Roosevelt Middle School,Eugene SD 4J,Lane ESD,,500 E 24th Ave,Eugene,OR,97405,Lane,,6,8,Middle,Public,Regular School,526,Principal,,mitchell_c@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,597,618,308,49.8%,310,50.2%,3,0.5%,34,5.5%,1,0.2%,17,2.8%,75,12.1%,421,68.1%,67,10.8%,,,,,,,206,207,205,,,,,false,
Three Rivers Charter School – West Linn,Three Rivers Charter School,West Linn-Wilsonville SD 3J,Clackamas ESD,,4975 Willamette Falls Drive,West Linn,OR,97068,Clackamas,503-673-7850,4,8,Other,Public,Charter,3452,Principal,Katherine Holtgraves,kholtgraves@3rcs.org,,,Yes,66,"6th grade, 7th grade, 8th grade",Camp Westwind,5,4,Self,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,High school mentors,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,12,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,112,110,52,47.3%,58,52.7%,,0%,14,12.7%,,0%,,0%,6,5.5%,79,71.8%,11,10%,,,,,24,21,23,23,19,,,,,true,
Three Rivers Elementary School – Sunriver,Three Rivers Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,,56900 Enterprise Dr,Sunriver,OR,97707,Deschutes,541-355-3000,K,8,Elementary,Public,Regular School,1266,Principal,Tim Broadbent,tim.broadbent@bend.k12.or.us,,,Yes,42,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,203,48.7%,7,1.7%,3,0.7%,3,0.7%,1,0.2%,19,4.6%,364,87.3%,20,4.8%,39,41,50,44,55,44,45,52,47,,,,,false,
Three Sisters Adventist Christian School – Bend,Three Sisters Adventist Christian School,,,,21155 Tumalo Rd,Bend,OR,97701,Deschutes,541-389-2091,PK,8,Other,Private,Regular School,,,,brenda@threesistersschool.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Thurston Elementary School – Springfield,Thurston Elementary School,Springfield SD 19,Lane ESD,,7345 Thurston Rd,Springfield,OR,97478,Lane,541-744-6411,K,5,Elementary,Public,Regular School,556,Principal,Nicki Gorham,nicki.gorham@springfield.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,473,476,260,54.6%,216,45.4%,2,0.4%,,0%,1,0.2%,3,0.6%,54,11.3%,387,81.3%,29,6.1%,67,77,76,74,87,95,,,,,,,,false,
Thurston Middle School – Springfield,Thurston Middle School,Springfield SD 19,Lane ESD,,6300 Thurston Rd,Springfield,OR,97478,Lane,541-744-6368,6,8,Middle,Public,Regular School,557,Principal,Brandi Starck,brandi.starck@springfield.k12.or.us,,,Yes,175,6th grade,,3,2,None,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",School staff develop the curriculum,"Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,576,543,287,52.9%,256,47.1%,3,0.6%,4,0.7%,1,0.2%,4,0.7%,40,7.4%,439,80.8%,52,9.6%,,,,,,,184,178,181,,,,,false,
Tillamook Adventist School – Tillamook,Tillamook Adventist School,,,,4300 12Th St,Tillamook,OR,97141,Tillamook,503-842-6533,PK,8,Other,Private,Regular School,,,,info@tillamookadventistschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
