"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"428","Naas Elementary School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.3784397,45.4342993
"429","Neah-Kah-Nie Middle School","Yes","Neah-Kah-Nie SD 56","Northwest Regional ESD","Public",0,0,NA,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.9382362,45.6425747
"430","Nellie Muir Elementary School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.86936,45.145328
"431","Neskowin Valley School","No","Nestucca Valley SD 101","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.924623,45.073809
"432","Nestucca Valley Elementary School","Yes","Nestucca Valley SD 101","Northwest Regional ESD","Public",0,1,36,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.904015,45.1882315
"433","New Dimension Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.879111,42.3248954
"434","New Hope Christian Schools","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.366377,42.3594324
"435","New Vision School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-121.608105,45.66837
"436","Newby Elementary School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2106526,45.2112788
"437","Ninety-One School","Yes","Canby SD 86","Clackamas ESD","Public",0,1,50,"Hancock Field Station","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.745682,45.177347
"438","North Albany Elementary School","Yes","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",1,0,55,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1147119,44.6515458
"439","North Albany Middle School","Yes","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",1,0,57,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1119355,44.6525198
"440","North Bay Elementary School","No","North Bend SD 13","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.210605,43.5023925
"441","North Bend Middle School","No","North Bend SD 13","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2343443,43.3987783
"442","North Clackamas Christian School","Yes","None",NA,"Private",0,1,20,"Twin Rocks Friends Conference","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.580727,45.3220839
"443","North Lake School","No","North Lake SD 14","Lake ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.9038818,43.2444884
"444","North Marion Middle School","Yes","North Marion SD 15","Willamette ESD","Public",0,1,126,"Camp Arrah Wanna","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7949683,45.2137719
"445","North Middle School","Yes","Grants Pass SD 7","Southern Oregon ESD","Public",0,1,240,"Sam Brown Campground","1","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.3312858,42.4581277
"446","North Plains Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,50,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.00787,45.601793
"447","North Powder Charter School","Yes","North Powder SD 8J","InterMountain ESD","Public",0,1,25,"Elkhorn Wildlife Management Area","4","0",NA,NA,-117.9253841,45.0275745
"448","Northwest Chinese Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.7647438,45.4872311
"449","Nyssa Elementary School","No","Nyssa SD 26","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-117.003815,43.8776926
"450","Nyssa Middle School","No","Nyssa SD 26","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-117.0037747,43.8776453
"451","O'Hara Catholic Elementary School","Yes","None",NA,"Private",0,1,NA,NA,NA,NA,NA,NA,-123.1028978,44.0413205
"452","Oak Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0864966,44.6079661
"453","Oak Grove Elementary School","Yes","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",1,0,62,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1482553,44.6570354
"454","Oak Grove Elementary School","Yes","Medford SD 549C","Southern Oregon ESD","Public",0,1,61,"Mountain Lakes Bible Camp","3","2",NA,NA,-122.9095265,42.3245036
"455","Oak Heights Elementary School","Yes","Sweet Home SD 55","Linn Benton Lincoln ESD","Public",0,1,35,"Camp Tadmor","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7369404,44.3914143
"456","Oak Hill School","Yes","None",NA,"Private",0,0,NA,"Camp Lutherwood Oregon",NA,NA,NA,NA,-123.0269118,44.0078771
"457","Oakridge Elementary School","Yes","Oakridge SD 76","Lane ESD","Public",0,1,37,"Oakridge Fish Hatchery","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4656719,43.7486638
"458","Ockley Green Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,194,"Camp Angelos, Camp Arrah Wanna, Canby Grove, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6806994,45.5669644
"459","Ogden Middle School","Yes","Oregon City SD 62","Clackamas ESD","Public",0,1,291,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.5760902,45.3559986
"460","Oliver Elementary School","Yes","Centennial SD 28J","Multnomah ESD","Public",1,0,60,"Mazama Mountain Science School","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5000647,45.5154401
"461","Opal School of the Portland Children's Museum","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,7,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7178683,45.5085095
"462","Open School North","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,6,"Canby Grove","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6994765,45.5778805
"463","Oregon Connections Academy","Yes","Santiam Canyon SD 129J","Linn Benton Lincoln ESD","Public",0,0,NA,"Camp Tilikum",NA,NA,NA,NA,-122.4871395,44.7575848
"464","Oregon Episcopal School","Yes","None",NA,"Private",0,1,68,"Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7572274,45.4750387
"465","Oregon School for the Deaf","No","Oregon Department of Education",NA,"Public",0,0,NA,NA,NA,NA,NA,NA,-123.0219593,44.965496
"466","Oregon Trail Academy","Yes","Oregon Trail SD 46","Clackamas ESD","Public",0,1,25,"Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.289881,45.454818
"467","Oregon Virtual Academy","No","North Bend SD 13","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2214074,43.4070721
"468","Orenco Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,86,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9079916,45.5282932
"469","Otto Petersen Elementary School","No","Scappoose SD 1J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8749777,45.7506771
"470","Our Lady Of The Lake School","Yes","None",NA,"Private",1,1,56,"Trickle Creek, Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6715435,45.419697
"471","Pacific Crest Middle School","No","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.3674246,44.0548937
"472","Paisley School","Yes","Paisley SD 11","Lake ESD","Public",1,1,8,"none, we plan our own","4","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-120.5433171,42.693698
"473","Parklane Elementary School","Yes","Centennial SD 28J","Multnomah ESD","Public",1,0,58,"Mazama Mountain Science School","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5002356,45.5144645
"474","Parkrose Middle School","Yes","Parkrose SD 3","Multnomah ESD","Public",0,1,217,"Canby Grove, Camp Angelos","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5407935,45.5508543
"475","Parrish Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0240185,44.9454937
"476","Patton Middle School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1859997,45.222738
"477","Paul L Patterson Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,57,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9930574,45.5465306
"478","Pelican Elementary School","Yes","Klamath Falls City Schools","Southern Oregon ESD","Public",0,0,0,"Klamath Outdoor Science School","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.8031497,42.2500925
"479","Periwinkle Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0781438,44.6210811
"480","Perrydale School","Yes","Perrydale SD 21","Willamette ESD","Public",0,1,25,"Camp Tapawingo","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.2574182,45.0420662
"481","Peterson Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,80,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.7288567,42.1900561
"482","Philomath Middle School","Yes","Philomath SD 17J","Linn Benton Lincoln ESD","Public",0,1,105,"Camp Tadmor","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.3556333,44.5345472
"483","Phoenix Elementary School","Yes","Phoenix-Talent SD 4","Southern Oregon ESD","Public",1,0,40,"Mountain Lakes Bible Camp","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8200681,42.2733072
"484","Pilgrim Lutheran School","Yes","None",NA,"Private",0,1,12,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8050792,45.4791231
"485","Pilot Butte Middle School","No","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.286535,44.064436
"486","Pilot Rock Elementary School","Yes","Pilot Rock SD 2","InterMountain ESD","Public",0,1,35,"Camp Meadowood Springs","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-118.8332553,45.4785564
"487","Pine Creek Elementary School","No","Pine Creek SD 5","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.5874008,43.8269554
"488","Pine Ridge Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,94,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3314013,44.0236373
"489","Pioneer Elementary School","No","Ontario SD 8C","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-116.938867,44.117991
"490","Pioneer School","Yes","Lebanon Community SD 9","Linn Benton Lincoln ESD","Public",0,1,23,"Camp Tadmor","3","2","Yes",NA,-122.9141758,44.5503382
"491","Pleasant Hill High School","Yes","Pleasant Hill SD 1","Lane ESD","Public",0,1,75,"Kiwanis Sky Camp","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9134386,43.9590454
"492","Pleasant Valley Elementary School","No","Centennial SD 28J","Multnomah ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.47992,45.4646035
"493","Plush Elementary School","Yes","Plush SD 18","Lake ESD","Public",0,0,0,"Own","5","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.903279,42.4119945
"494","Ponderosa Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,90,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.271916,44.0882829
"495","Ponderosa Middle School","No","Klamath Falls City Schools","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.7606908,42.2284066
"496","Portland Adventist Elementary School","Yes","None",NA,"Private",0,1,20,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.471921,45.4964131
"497","Portland Christian Schools","Yes","None",NA,"Private",0,1,33,"Camp Yamhill","4","3",NA,NA,-122.5408098,45.5119614
"498","Portland Jewish Academy","Yes","None",NA,"Private",0,1,19,"Camp Angelos","6","5",NA,"We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7044058,45.4768855
"499","Portland Village School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,44,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6917294,45.578644
"500","Portland Waldorf School","Yes","None",NA,"Private",0,1,21,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.639132,45.445317
"501","Powell Butte Community Charter School","Yes","Crook County SD","High Desert ESD","Public",0,1,26,"Suttle Lake Camp","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.017115,44.245931
"502","Powers Elementary School","No","Powers SD 31","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.070309,42.8804527
"503","Prairie City School","Yes","Prairie City SD 4","Grant ESD","Public",0,1,25,"Wallowa Lake Camp","3","2",NA,NA,-118.7084911,44.4567986
"504","Prairie Mountain School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1902188,44.0722325
"505","Pratum Elementary School","No","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8774545,44.9585549
"506","Prospect Charter School","No","Prospect SD 59","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.4886606,42.754241
"507","Quatama Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,61,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9081679,45.5328663
"508","Queen Of Peace School","Yes","None",NA,"Private",1,0,15,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0826335,44.9046074
"509","R E Jewell Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,64,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2974032,44.0214919
"510","Raleigh Hills Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,60,"Hancock Field Station, Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7583425,45.4823101
"511","REALMS (Rimrock Expeditionary Alternative Learning Middle School)","No","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.312883,44.093784
"512","Redmond Proficiency Academy","Yes","Redmond SD 2J","High Desert ESD","Public",0,1,140,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.1750246,44.2707885
"513","Reedville Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,32,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8918618,45.5001919
"514","Renaissance Public Academy","Yes","Molalla River SD 35","Clackamas ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5284117,45.0379798
"515","Resource Link Charter School","No","Coos Bay SD 9","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2209345,43.3613942
"516","Reynolds Middle School","Yes","Reynolds SD 7","Multnomah ESD","Public",0,1,287,"Camp Angelos, Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4535657,45.5318644
"517","Richmond Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0127678,44.9296973
"518","Riddle Elementary School","No","Riddle SD 70","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3625826,42.954441
"519","Rigler Elementary School","No","Portland SD 1J","Multnomah ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.6083172,45.5564492
"520","Riley Creek Elementary School","No","Central Curry SD 1","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.4136304,42.4095739
"521","River Road / El Camino del Río Elementary School","Yes","Eugene SD 4J","Lane ESD","Public",1,0,42,"Camp Lutherwood","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.1243047,44.0786785
"522","Riverdale Grade School","Yes","Riverdale SD 51J","Multnomah ESD","Public",0,1,46,"Canby Grove, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6560243,45.4398967
"523","Rivergate SDA School","Yes","None",NA,"Private",0,1,15,"Big Lake Youth Camp","4","3",NA,NA,-122.5775244,45.3916722
"524","Rivers Edge Academy Charter School","No","Rogue River SD 35","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.173716,42.438802
"525","Riviera Christian School","Yes","None",NA,"Private",1,0,15,"Camp Tapawingo","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0684647,44.9709664
"526","Robert Frost Elementary School","No","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7936601,45.0011442
"527","Rock Creek Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,94,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8685893,45.5491614
"528","Rock Creek Middle School","Yes","North Clackamas SD 12","Clackamas ESD","Public",0,1,272,"Cedar Ridge, Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.493568,45.415511
"529","Rocky Heights Elementary School","Yes","Hermiston SD 8","InterMountain ESD","Public",1,0,150,"Camp Meadowood Springs","3","2",NA,NA,-119.2991982,45.8447594
"530","Rogue River Elementary School","No","Rogue River SD 35","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1700638,42.437082
"531","Rogue Valley Adventist School","Yes","None",NA,"Private",0,1,15,"Big Lake Youth Camp","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9270951,42.3019041
"532","Ron Russell Middle School","Yes","David Douglas SD 40","Multnomah ESD","Public",0,1,119,"Camp Arrah Wanna","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5489937,45.4940445
"533","Roosevelt Elementary School","Yes","Klamath Falls City Schools","Southern Oregon ESD","Public",1,0,60,"Klamath Outdoor Science School","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.7751946,42.2383631
"534","Rosa Parks Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,20,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7128588,45.5878143
"535","Rosedale Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,58,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9124455,45.4943905
"536","Rosemont Ridge Middle School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",0,1,280,"Cedar Ridge, Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6480959,45.3690086
"537","Roseway Heights School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,55,"Camp Namanu, Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.5874901,45.5441469
"538","Rosland Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,32,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.4876767,43.7020848
"539","Rowe Middle School","Yes","North Clackamas SD 12","Clackamas ESD","Public",0,1,253,"Cedar Ridge, Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6263493,45.4331046
"540","Ruch Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.044032,42.235784
"541","Rural Dell Elementary School","Yes","Molalla River SD 35","Clackamas ESD","Public",1,0,29,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.651972,45.148283
"542","Sabin K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,41,"Canby Grove","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6477124,45.5524069
"543","Sacred Heart Catholic School","Yes","None",NA,"Private",0,1,9,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8975952,45.1081752
"544","Sage Community School","No","Klamath County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.938652,42.61976
"545","Sage Elementary School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,78,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.201905,44.246027
"546","Salem Academy","Yes","None",NA,"Private",1,0,40,"Canyonview Camp","4","3",NA,NA,-122.9823891,44.9434439
"547","Sand Ridge Charter School","No","Lebanon Community SD 9","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8702402,44.4805259
"548","Sandy Grade School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.2625281,45.3988124
"549","Santiam Elementary School","Yes","Santiam Canyon SD 129J","Linn Benton Lincoln ESD","Public",0,1,48,"Twin Rocks Friends Conference","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4812634,44.750856
"550","Sauvie Island Academy","Yes","Scappoose SD 1J","Multnomah ESD","Public",0,1,24,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.826149,45.655713
"551","Scenic Middle School","No","Central Point SD 6","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.92257,42.3864569
"552","Scio Middle School","Yes","Scio SD 95","Linn Benton Lincoln ESD","Public",0,1,44,"Camp Tadmor","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.8811237,44.7037833
"553","Scott Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,32,"Camp Arrah Wanna, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5942398,45.5550105
"554","Scott Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9674338,44.96692
"555","Scotts Mills Elementary School","Yes","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6684215,45.0428996
"556","Seaside Heights Elementary School","Yes","Seaside SD 10","Northwest Regional ESD","Public",1,0,60,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.9086362,45.987545
"557","Sellwood Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,190,"Camp Arrah Wanna, Canby Grove, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6504389,45.4625356
"558","Seneca Elementary School","No","John Day SD 3","Grant ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.971675,44.1339225
"559","Seven Oak Middle School","Yes","Lebanon Community SD 9","Linn Benton Lincoln ESD","Public",0,1,NA,"Camp Tadmor","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.89313,44.5105304
"560","Seven Peaks School","Yes","None",NA,"Private",1,0,27,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3380521,44.0390827
"561","Shady Cove School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8087977,42.6218428
"562","Shasta Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,59,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.7167687,42.211613
"563","Shasta Middle School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1762649,44.0839522
"564","Sheridan AllPrep Academy","Yes","Sheridan SD 48J","Willamette ESD","Public",0,1,3,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.399138,45.1012429
"565","Sheridan Japanese School","Yes","Sheridan SD 48J","Willamette ESD","Public",0,1,13,"Camp Angelos","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.3995591,45.0978271
"566","Sherman County School","Yes","Sherman County SD","North Central ESD","Public",0,1,18,"Camp Tucker","4","3",NA,NA,-120.7395759,45.4750086
