School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction),lon,lat,MS,Good interview candidate
Riviera Christian School – Salem,Riviera Christian School,,,,1650 Brush College Rd NW,Salem,OR,97304,Polk,503-361-8779,PK,6,Elementary,Private,Regular School,,,,rivierachristian@gmail.com,,,Yes,15,5th grade,Camp Tapawingo,2,1,,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,8,,,,,,,NOT AT ALL FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-123.0684647,44.9709664,,
Robert Frost Elementary School – Silverton,Robert Frost Elementary School,Silver Falls SD 4J,Willamette ESD,Silverton Middle School – Silverton,201 Westfield St,Silverton,OR,97381,Marion,503-873-5301,3,5,Elementary,Public,Regular School,716,Principal,Kirstin Jorgenson,jorgenson_kirstin@silverfalls.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,501,412,245,59.5%,167,40.5%,11,2.7%,3,0.7%,,0%,5,1.2%,76,18.4%,305,74%,12,2.9%,,,2,133,122,155,,,,,,,,false,Silverton Middle School – Silverton,-122.7936601,45.0011442,Silverton Middle School,
Rock Creek Elementary School – Portland,Rock Creek Elementary School,Beaverton SD 48J,Northwest Regional ESD,Stoller Middle School – Portland,4125 NW 185th Ave,Portland,OR,97229,Washington,503-356-2450,K,5,Elementary,Public,Regular School,1175,Principal,Tiffany Wiencken,tiffany_wiencken@beaverton.k12.or.us,,,Yes,94,5th grade,Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,"Program provider staff, Parent volunteers",,,,,,,,,,,,,582,599,314,52.4%,285,47.6%,2,0.3%,110,18.4%,6,1%,5,0.8%,79,13.2%,355,59.3%,42,7%,90,103,98,116,92,100,,,,,,,,false,Stoller Middle School – Portland,-122.8685893,45.5491614,Stoller Middle School,
Rock Creek Middle School – Clackamas,Rock Creek Middle School,North Clackamas SD 12,Clackamas ESD,"Oregon Trail Elementary School – Clackamas, Sunnyside Elementary School – Clackamas, Verne A Duncan Elementary School – Happy Valley","14897 Southeast Parklane Drive,",Clackamas,OR,97015,Clackamas,503-353-5680,6,8,Middle,Public,Regular School,4767,Principal,John Brooks,brooksjo@nclack.k12.or.us,,,Yes,272,6th grade,"Cedar Ridge, Trickle Creek",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,870,876,459,52.4%,417,47.6%,1,0.1%,95,10.8%,6,0.7%,18,2.1%,138,15.8%,556,63.5%,62,7.1%,,,,,,,288,289,299,,,,,true,"Oregon Trail Elementary School – Clackamas, Sunnyside Elementary School – Clackamas, Verne A Duncan Elementary School – Happy Valley",-122.493568,45.415511,,
Rocky Heights Elementary School – Hermiston,Rocky Heights Elementary School,Hermiston SD 8,InterMountain ESD,Armand Larive Middle School – Hermiston,650 W Standard Ave,Hermiston,OR,97838,Umatilla,541-667-6600,K,5,Elementary,Public,Regular School,1036,Principal,Jerad Farley,jerad.farley@hermiston.k12.or.us,,,Yes,150,5th grade,Camp Meadowood Springs,3,2,,,,,,,,,,,,,,,,,499,492,256,52%,236,48%,1,0.2%,3,0.6%,,0%,3,0.6%,272,55.3%,198,40.2%,15,3%,69,86,77,93,75,92,,,,,,,,false,Armand Larive Middle School – Hermiston,-119.2991982,45.8447594,Armand Larive Middle School,
Rogue River Elementary School – Rogue River,Rogue River Elementary School,Rogue River SD 35,Southern Oregon ESD,,300 Pine St,Rogue River,OR,97537,Jackson,541-582-3234,K,6,Elementary,Public,Regular School,399,Principal,Janel Reed,janel.reed@rogueriver.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,426,450,228,50.7%,222,49.3%,10,2.2%,5,1.1%,,0%,4,0.9%,28,6.2%,361,80.2%,42,9.3%,59,55,70,65,76,62,63,,,,,,,false,,-123.1700638,42.437082,Rogue River Junior/Senior High,
Rogue Valley Adventist School – Medford,Rogue Valley Adventist School,,,,3675 S Stage Rd,Medford,OR,97501,Jackson,541-773-2988,PK,12,Other,Private,Regular School,,,,info@rvas.org,,,Yes,15,6th grade,Big Lake Youth Camp,4,3,Oregon Conference of Seventh-day Adventists,"Yes, and it CONNECTS TO STATE STANDARDS",School staff and our district superintendants,"Program provider staff, Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,25,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.9270951,42.3019041,,
Ron Russell Middle School – Portland,Ron Russell Middle School,David Douglas SD 40,Multnomah ESD,"Earl Boyles Elementary School – Portland, Lincoln Park Elementary School – Portland, Mill Park Elementary School – Portland, West Powellhurst Elementary School – Portland",3955 SE 112th Ave,Portland,OR,97266,Multnomah,503-256-6519,6,8,Middle,Public,Regular School,4232,Principal,Andrew Long,andrew_long@ddouglas.k12.or.us,,,Yes,119,6th grade,Camp Arrah Wanna,3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,871,850,448,52.7%,402,47.3%,9,1.1%,141,16.6%,8,0.9%,112,13.2%,223,26.2%,316,37.2%,41,4.8%,,,,,,,277,281,292,,,,,false,"Earl Boyles Elementary School – Portland, Lincoln Park Elementary School – Portland, Mill Park Elementary School – Portland, West Powellhurst Elementary School – Portland",-122.5489937,45.4940445,,
Roosevelt Elementary School – Klamath Falls,Roosevelt Elementary School,Klamath Falls City Schools,Southern Oregon ESD,Ponderosa Middle School – Klamath Falls,1125 Eldorado St,Klamath Falls,OR,97601,Klamath,541-883-4750,K,5,Elementary,Public,Regular School,465,Principal,Ruth Krieger,kriegerr@kfalls.k12.or.us,,,Yes,60,5th grade,Klamath Outdoor Science School,4,3,,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"Our students love love it.  Year after year, when our 5th graders transition to Pondo Middle School they say their favorite part of attending Roosevelt is Science Outdoor School.  Teachers make such amazing relationships with students.  
I have attended for the day and a night as well.  I helped with the Night Hikes, etc.  So much learning happens that wouldn't have happened in the classroom.
Great experience for kids!",,362,355,173,48.7%,182,51.3%,12,3.4%,11,3.1%,1,0.3%,3,0.8%,44,12.4%,271,76.3%,13,3.7%,67,61,54,60,59,54,,,,,,,,true,Ponderosa Middle School – Klamath Falls,-121.7751946,42.2383631,Ponderosa Middle School,
Roosevelt Elementary School – Medford,Roosevelt Elementary School,Medford SD 549C,Southern Oregon ESD,Hedrick Middle School – Medford,1212 Queen Anne Ave,Medford,OR,97504,Jackson,541-842-3840,K,6,Elementary,Public,Regular School,417,Principal,Isis Contreras,isis.contreras@medford.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,386,375,195,52%,180,48%,1,0.3%,5,1.3%,14,3.7%,2,0.5%,103,27.5%,230,61.3%,20,5.3%,56,66,45,57,56,48,47,,,,,,,false,Hedrick Middle School – Medford,-122.8572364,42.3296599,Hedrick Middle School,
Rosa Parks Elementary School – Portland,Rosa Parks Elementary School,Portland SD 1J,Multnomah ESD,George Middle School – Portland,8960 N Woolsey Ave,Portland,OR,97203,Multnomah,503-916-6250,PK,5,Elementary,Public,Regular School,829,Principal,Tamala Newsome,tnewsome@pps.net,,,Yes,20,5th grade,Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,"Program provider staff, Parent volunteers",,,,,,,,,,,,,334,294,141,48%,153,52%,2,0.7%,7,2.4%,3,1%,138,46.9%,72,24.5%,40,13.6%,32,10.9%,44,41,49,56,60,44,,,,,,,,false,George Middle School – Portland,-122.7128588,45.5878143,George Middle School,
Roseburg Junior Academy – Roseburg,Roseburg Junior Academy,,,,1653 NW Troost St,Roseburg,OR,97471,Douglas,541-673-5278,K,8,Other,Private,Regular School,,,,TalkToRJA@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-123.385547,43.229423,,
Rosedale Elementary School – Hillsboro,Rosedale Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,3901 SE 67th Ave,Hillsboro,OR,97078,Washington,503-844-1200,K,6,Elementary,Public,Regular School,4703,Principal,Mike Strande,strandem@hsd.k12.or.us,,,Yes,58,6th grade,Trickle Creek,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,406,437,223,51%,214,49%,2,0.5%,35,8%,3,0.7%,8,1.8%,169,38.7%,178,40.7%,42,9.6%,58,51,70,62,77,61,58,,,,,,,true,,-122.9124455,45.4943905,South Meadows Middle School,
Rosemont Ridge Middle School – West Linn,Rosemont Ridge Middle School,West Linn-Wilsonville SD 3J,Clackamas ESD,"Bolton Primary School – West Linn, Cedaroak Park Primary School – West Linn, Sunset Primary School – West Linn, Trillium Creek Primary School – West Linn",20001 Salamo Road,West Linn,OR,97068,Clackamas,503-673-7550,6,8,Middle,Public,Regular School,2787,Principal,Debi Briggs-Crispin,briggs-d@wlwv.k12.or.us,,,Yes,280,6th grade,"Cedar Ridge, Trickle Creek",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,776,835,422,50.5%,413,49.5%,4,0.5%,33,4%,1,0.1%,13,1.6%,47,5.6%,670,80.2%,67,8%,,,,,,,277,279,279,,,,,true,"Bolton Primary School – West Linn, Cedaroak Park Primary School – West Linn, Sunset Primary School – West Linn, Trillium Creek Primary School – West Linn",-122.6480959,45.3690086,,
Roseway Heights School – Portland,Roseway Heights School,Portland SD 1J,Multnomah ESD,,7334 NE Siskiyou St,Portland,OR,97213,Multnomah,503-916-5600,K,8,Other,Public,Regular School,885,Principal,William Cohen,jcohen@pps.net,,,Yes,55,6th grade,"Camp Namanu, Camp Arrah Wanna",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider",Program provider staff,We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,10,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,We really enjoy it.,,697,642,312,48.6%,330,51.4%,2,0.3%,124,19.3%,2,0.3%,31,4.8%,54,8.4%,353,55%,76,11.8%,64,77,72,82,67,75,59,80,66,,,,,true,,-122.5874901,45.5441469,,
Rosland Elementary School – La Pine,Rosland Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,La Pine Middle School – LaPine,52350 Rease Dr,La Pine,OR,97739,Deschutes,541-355-8100,K,5,Elementary,Public,Regular School,4793,Principal,Rochelle Williams,rochelle.williams@bend.k12.or.us,,,Yes,32,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,3,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,174,184,102,55.4%,82,44.6%,1,0.5%,2,1.1%,,0%,,0%,9,4.9%,167,90.8%,5,2.7%,36,25,27,29,34,33,,,,,,,,false,La Pine Middle School – LaPine,-121.4876767,43.7020848,LaPine Middle School,
Rowe Middle School – Milwaukie,Rowe Middle School,North Clackamas SD 12,Clackamas ESD,"Ardenwald Elementary School – Milwaukie, Lewelling Elementary School – Milwaukie, Linwood Elementary School – Milwaukie, Milwaukie Elementary School – Milwaukie, Whitcomb Elementary School – Milwaukie",3606 SE Lake Rd,Milwaukie,OR,97222,Clackamas,503-353-5725,6,8,Middle,Public,Regular School,84,Principal,Greg Harris,harrisgr@nclack.k12.or.us,,,Yes,253,6th grade,"Cedar Ridge, Camp Westwind",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,845,806,432,53.6%,374,46.4%,4,0.5%,12,1.5%,8,1%,13,1.6%,239,29.7%,468,58.1%,62,7.7%,,,,,,,257,276,273,,,,,true,"Ardenwald Elementary School – Milwaukie, Lewelling Elementary School – Milwaukie, Linwood Elementary School – Milwaukie, Milwaukie Elementary School – Milwaukie, Whitcomb Elementary School – Milwaukie",-122.6263493,45.4331046,,
Ruch Elementary School – Jacksonville,Ruch Elementary School,Medford SD 549C,Southern Oregon ESD,,156 Upper Applegate Rd,Jacksonville,OR,97530,Jackson,541-842-3850,K,8,Elementary,Public,Regular School,418,Principal,Julie Barry,julie.barry@medford.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,206,207,117,56.5%,90,43.5%,,0%,2,1%,,0%,3,1.4%,33,15.9%,157,75.8%,12,5.8%,21,14,34,23,21,19,26,29,20,,,,,false,,-123.044032,42.235784,,
Rural Dell Elementary School – Molalla,Rural Dell Elementary School,Molalla River SD 35,Clackamas ESD,Molalla River Middle School – Molalla,10500 S Hwy 211,Molalla,OR,97038,Clackamas,503-651-2128,K,5,Elementary,Public,Regular School,128,Principal,Larry Conley,larry.conley@molallariv.k12.or.us,,,Yes,29,5th grade,Jawbone Flats,3,2,Opal Creek Ancient Forest Center,"Yes, and it CONNECTS TO STATE STANDARDS",,Program provider staff,,,,,,,,,,,,,247,223,128,57.4%,95,42.6%,1,0.4%,1,0.4%,2,0.9%,,0%,35,15.7%,176,78.9%,8,3.6%,29,42,34,42,43,33,,,,,,,,false,Molalla River Middle School – Molalla,-122.651972,45.148283,Molalla River Middle School,
Russell Elementary School – Portland,Russell Elementary School,Parkrose SD 3,Multnomah ESD,Parkrose Middle School – Portland,2700 NE 127th Ave,Portland,OR,97230,Multnomah,503-408-2750,K,5,Elementary,Public,Regular School,926,Principal,Heather Bailey,heather_bailey@parkrose.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,469,432,202,46.8%,230,53.2%,4,0.9%,44,10.2%,9,2.1%,50,11.6%,86,19.9%,196,45.4%,43,10%,63,73,84,66,68,78,,,,,,,,false,Parkrose Middle School – Portland,-122.5312801,45.541528,Parkrose Middle School,
Sabin K-8 School – Portland,Sabin K-8 School,Portland SD 1J,Multnomah ESD,,4013 NE 18th Ave,Portland,OR,97212,Multnomah,,K,8,Other,Public,Regular School,886,Principal,Reiko Williams,rwillia1@pps.net,,,Yes,41,6th grade,Canby Grove,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,569,524,258,49.2%,266,50.8%,1,0.2%,5,1%,3,0.6%,86,16.4%,42,8%,337,64.3%,50,9.5%,63,72,93,64,71,71,41,26,23,,,,,false,,-122.6477124,45.5524069,,
Sacramento Elementary School – Portland,Sacramento Elementary School,Parkrose SD 3,Multnomah ESD,Parkrose Middle School – Portland,11400 NE Sacramento St,Portland,OR,97220,Multnomah,503-408-2800,K,5,Elementary,Public,Regular School,927,Principal,Karen Justice,karen_justice@parkrose.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,386,353,176,49.9%,177,50.1%,3,0.8%,39,11%,3,0.8%,38,10.8%,81,22.9%,156,44.2%,33,9.3%,53,55,69,52,56,68,,,,,,,,false,Parkrose Middle School – Portland,-122.544785,45.538509,Parkrose Middle School,
Sacred Heart Catholic School – Gervais,Sacred Heart Catholic School,,,,PO Box 215,Gervais,OR,97026,Marion,503-792-4541,PK,8,Other,Private,Regular School,,,,lucy.shawn@shstl.org,,,Yes,9,6th grade,Trickle Creek,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,10,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Outdoor School has always been one of the most valuable experiences all 6th graders experience through Sacred Heart Catholic School.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.8975952,45.1081752,,
Sacred Heart Catholic School – Medford,Sacred Heart Catholic School,,,,431 S Ivy,Medford,OR,97501,Jackson,541-772-4105,PK,8,Other,Private,Regular School,,,,ljones@shcs.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.8731568,42.3207429,,
SAFE Center School – Jasper,SAFE Center School,Springfield SD 19,Lane ESD,,89124 Marcola Road,Jasper,OR,97478,Lane,541-747-1235,PK,8,Other,Public,LTCT,1789,Principal,Debbie Egan,debbiee@jaspermountain.org,,,NA,,,,,,,,,,,,,,,,,,,,,,20,17,12,70.6%,5,29.4%,1,5.9%,,0%,1,5.9%,1,5.9%,2,11.8%,11,64.7%,1,5.9%,,,1,3,2,4,1,5,1,,,,,false,,-122.9530913,44.0879012,,
Sage Community School – Chiloquin,Sage Community School,Klamath County SD,Southern Oregon ESD,,43580 Hwy 62,Chiloquin,OR,97624,Klamath,541-783-2533,K,8,Other,Public,Charter School,4581,Administrator,Anna Fowler,afowler@sagecommunityschool.org,,,No,,,,,,,,,,,,Yes,2013-2014 school year,Klamath Outdoor Science School,Change in staff,SOMEWHAT interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,63,65,30,46.2%,35,53.8%,9,13.8%,1,1.5%,,0%,,0%,3,4.6%,50,76.9%,2,3.1%,5,5,5,6,11,13,6,9,5,,,,,false,,-121.938652,42.61976,,
Sage Elementary School – Redmond,Sage Elementary School,Redmond SD 2J,High Desert ESD,Obsidian Middle School – Redmond,2790 SW Wickiup,Redmond,OR,97756,Deschutes,541-923-4865,1,5,Elementary,Public,Regular School,256,Principal,Carolyn Espinosa,carolyn.espinosa@redmondschools.org,,,Yes,78,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,622,525,269,51.2%,256,48.8%,1,0.2%,1,0.2%,1,0.2%,3,0.6%,90,17.1%,418,79.6%,11,2.1%,,106,106,93,116,104,,,,,,,,false,Obsidian Middle School – Redmond,-121.201905,44.246027,Obsidian Middle School,
Salem Academy – Salem,Salem Academy,,,,942 Lancaster Dr NE,Salem,OR,97301,Marion,503-378-1211,PK,12,Other,Private,Regular School,,,,ljones@salemacademy.org,,,Yes,40,5th grade,Canyonview Camp,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.9823891,44.9434439,,
Salem Heights Elementary School – Salem,Salem Heights Elementary School,Salem-Keizer SD 24J,Willamette ESD,Crossler Middle School – Salem,3495 Liberty Rd S,Salem,OR,97302,Marion,503-399-3187,K,5,Elementary,Public,Regular School,759,Principal,Sarah Theis,theis_sarah@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,296,320,152,47.5%,168,52.5%,3,0.9%,2,0.6%,3,0.9%,7,2.2%,58,18.1%,218,68.1%,29,9.1%,64,47,43,60,54,52,,,,,,,,false,Crossler Middle School – Salem,-123.0504737,44.9050209,Crossler Middle School,
Salish Ponds Elementary School – Fairview,Salish Ponds Elementary School,Reynolds SD 7,Multnomah ESD,Reynolds Middle School – Fairview,1210 NE 201st Ave,Fairview,OR,97024,Multnomah,503-492-7260,K,5,Elementary,Public,Regular School,3989,Principal,Damian Reardon,dreardon@rsd7.net,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,467,479,253,52.8%,226,47.2%,3,0.6%,12,2.5%,28,5.8%,17,3.5%,256,53.4%,134,28%,29,6.1%,69,78,64,84,83,101,,,,,,,,false,Reynolds Middle School – Fairview,-122.4525477,45.5283975,Reynolds Middle School,
Sam Case Elementary School – Newport,Sam Case Elementary School,Lincoln County SD,Linn Benton Lincoln ESD,Newport Middle School – Newport,459 NE 12th St,Newport,OR,97365,Lincoln,541-265-8598,3,5,Elementary,Public,Regular School,625,Principal,Tiana Tucker,tiana.tucker@lincoln.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,428,451,228,50.6%,223,49.4%,4,0.9%,5,1.1%,3,0.7%,3,0.7%,153,33.9%,257,57%,26,5.8%,,,,144,161,146,,,,,,,,false,Newport Middle School – Newport,-124.0468358,44.6459238,Newport Middle School,
Sams Valley Elementary School – Central Point,Sams Valley Elementary School,Central Point SD 6,Southern Oregon ESD,"Hanby Middle School – Gold Hill, Scenic Middle School – Central Point",14235 Table Rock Rd,Central Point,OR,97502,Jackson,541-494-6870,K,5,Elementary,Public,Regular School,386,Principal,Christine Beck,christine.beck@district6.org,,,,,,,,,,,,,,,,,,,,,,,,,296,296,145,49%,151,51%,5,1.7%,2,0.7%,2,0.7%,2,0.7%,47,15.9%,222,75%,16,5.4%,33,55,63,33,59,53,,,,,,,,false,Hanby Middle School – Gold Hill,-122.9362824,42.4937116,Hanby Middle School,
Sand Ridge Charter School – Lebanon,Sand Ridge Charter School,Lebanon Community SD 9,Linn Benton Lincoln ESD,,30581 Sodaville-Mt Home Rd,Lebanon,OR,97355,Linn,541-258-2416,K,8,Other,Public,Charter School,3505,Principal,Audrey Cota,acota@piecharters.org,,,No,,,,,,,,,,,,,,,,,,,,,,344,307,145,47.2%,162,52.8%,5,1.6%,4,1.3%,1,0.3%,4,1.3%,38,12.4%,246,80.1%,9,2.9%,37,39,38,30,34,36,33,36,24,,,,,false,,-122.8702402,44.4805259,,
Sandstone Middle School – Hermiston,Sandstone Middle School,Hermiston SD 8,InterMountain ESD,"Highland Hills Elementary School – Hermiston, Sunset Elementary School – Hermiston",400 NE 10th St,Hermiston,OR,97838,Umatilla,541-667-6300,6,8,Middle,Public,Regular School,1333,Principal,Lori Mills,Lori.mills@hermiston.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,522,531,262,49.3%,269,50.7%,3,0.6%,5,0.9%,4,0.8%,3,0.6%,279,52.5%,237,44.6%,,0%,,,,,,,174,188,169,,,,,false,"Highland Hills Elementary School – Hermiston, Sunset Elementary School – Hermiston",-119.2693781,45.8450053,,
Sandy Grade School – Sandy,Sandy Grade School,Oregon Trail SD 46,Clackamas ESD,Cedar Ridge Middle School – Sandy,38955 Pleasant St,Sandy,OR,97055,Clackamas,503-668-8065,K,5,Elementary,Public,Regular School,100,Principal,Rachael George,rachael.george@ortrail.k12.or.us,Talk to district,,No,,,,,,,,,,,,,,,,,,,,,,334,342,182,53.2%,160,46.8%,3,0.9%,2,0.6%,4,1.2%,4,1.2%,52,15.2%,263,76.9%,14,4.1%,61,47,56,64,52,62,,,,,,,,false,Cedar Ridge Middle School – Sandy,-122.2625281,45.3988124,Cedar Ridge Middle School,
Santiam Elementary School – Mill City,Santiam Elementary School,Santiam Canyon SD 129J,Linn Benton Lincoln ESD,,450 SW Evergreen,Mill City,OR,97360,Linn,503-897-2368,K,5,Elementary,Public,Regular School,681,Principal,David Plotts,david.plotts@santiam.k12.or.us,,,Yes,48,6th grade,Twin Rocks Friends Conference,4,3,Tillamook County Outdoor School,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"High school mentors, occasionally an additional special education teacher",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,308,295,153,51.9%,142,48.1%,4,1.4%,,0%,4,1.4%,6,2%,22,7.5%,240,81.4%,19,6.4%,36,39,38,44,47,44,47,,,,,,,true,,-122.4812634,44.750856,Santiam Junior/Senior High School,
Sauvie Island Academy – Portland,Sauvie Island Academy,Scappoose SD 1J,Multnomah ESD,,14445 NW Charlton Rd,Portland,OR,97231,Columbia,503-621-3426,K,8,Other,Public,Charter School,958,Director,Darla Meeuwsen,dmeeuwsen@sauvieislandacademy.org,,,Yes,24,6th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",NWRESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,6,,,,,,,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"This is a crucial experience for students and even though we have a very limited budget, we work to find the funds to make it happen for our kids. It would be amazing to think that all students would get to have this opportunity in our state.",,215,213,106,49.8%,107,50.2%,,0%,4,1.9%,,0%,2,0.9%,17,8%,171,80.3%,19,8.9%,24,24,24,24,23,22,24,24,24,,,,,true,,-122.826149,45.655713,,
Scappoose Adventist School – Scappoose,Scappoose Adventist School,,,,54285 Columbia River Hwy,Scappoose,OR,97056,Columbia,503-543-6939,PK,8,Other,Private,Regular School,,,,http://www.sasonline.org/article/15/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.8749718,45.7829502,,
