Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Camp Caldera,Caldera,Jefferson,www.calderaarts.org,Maesie Speer,Facility Program Manager,maesie.speer@calderaarts.org,541-595-5096,"31500 Blue Lake Drive, Sisters, OR 97759","31500 Blue Lake Drive, Sisters, OR 97759",No,,,,,,,No,,,Maybe - need more information,,No,,,,Maybe - need more information,Yes,No,No,Yes,No,No,Yes,115,60,100,Yes,,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,Would need more information to determine,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),60,"Access to water (lake, pond, river, stream, etc.)",Blue Lake and Suttle Lake,Covered outdoor spaces,,,,,Camp Tamarack,bluelake@calderaarts.org,Sleeping units and campfire spaces are not ADA accessible; no sleeping units are weatherized,,,,,,
Camp Latgawa,Camp & Retreat Ministries of Oregon and Idaho,Jackson,www.gocamping.org,Lisa Marie Ryder,Co-Director,latgawa@gocamping.org,541-826-9699,"13250 S Fork Little Butte Creek Rd, Eagle Point, OR 97524","13250 SF Little Butte Creek Rd, Eagle Point, OR 97524",Yes,South Middle School (Grants Pass),1 week / 200 students,,"No, we are able to host additional schools",,,,,,,,No,,,"natural swimming hole with waterfall, archery, situated between two creeks, made-from-scratch food service",Yes,Yes,No,Negotiable,Yes,Yes,No,Yes,16,125,90 at a time (multiple meal session available),Yes,"vegetarian, vegan, gluten free, nut free, no soy, dairy free",Negotiable,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,adult sleeping units are heated and have bathrooms and showers inside the cabin,"Forested areas, Meadowland, Trails",Campfire space(s),approx. 100,"Access to water (lake, pond, river, stream, etc.)",camp is situated between two creeks,Covered outdoor spaces,"Gazebo, approx. 50 x 50",Other amenities/resources,"tipi, outdoor classroom, school bus access,",The question earlier did NOT give the option to select that we CURRENTLY host outdoor school and HAVE the capacity to host more outdoor school programming.,,,,"""Eight 10-person Adirondacks, 30 two-person Mini-Dacs, tent sites.Adirondacks are open air cabins. no garbage service available""",South Middle School – Grants Pass,,-122.4506258,42.3376618,
Camp Attitude,Camp Attitude,Benton,CampAttitude.com,Shelley Day,Executive Director,shelley@campattitude.com,541-401-1052,45829 SantiamnHwy Foster   Or. 97345,"PO Box 207 Foster ,Or 97345",No,,,No,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,"We have been used as an outdoor school facility in previous years, just not 2016. We can service all disability and non disability needs and wish to become more involved.",,Yes,Through OMSI,Contract ran out,Yes,,No,,,Fully handicap accessible,Yes,Maybe - need more information,Negotiable,Negotiable,Yes,Negotiable,Yes,Yes,36,200,200,Yes,We accommodate most special needs diets currently at our camp,Negotiable,,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s), Everything on campus is ADA",Yes,,None..Entire Campus is ADA,"All sleeping units, Bathroom facilities, Conference room,welcome ctr","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",ADA,"Winter, Spring, Fall",,Yes,We have sleeping unit above conference room and welcome ctr set up for adults as well as super ate staff lodge,"Forested areas, Meadowland, Trails",Campfire space(s),2 campfire area can be set up as needed...ADA,"Access to water (lake, pond, river, stream, etc.)",River and pond . Lake 3 miles away,,,,,Please see everything on our website with dimensions under rentals,,shelley@campattitude.com,,,,,-122.5735188,44.4044614,
Camp Emerald Forest,Camp Emerald Forest,Columbia,www.CampEmeraldForest.org,Florence Bauder,Executive Director,campemeraldforest@yahoo.com,503-397-4226,"26000 Pittsburg Rd, St. Helens, OR 97051","26000 Pittsburg Rd, St. Helens, OR 97051",No,,,No,,,"We were not full of retreats, and could have provided Outdoor School Programs during Spring 2016, if the Programs were brought!

Q.  Would you define your requirements for Outdoor School?

We would love to host Outdoor School if we met your requirements.",No,,,Yes,,No,,,,Yes,Maybe - need more information,No,No,Yes,Yes,Yes,Yes,237,40,48,Yes,Can adapt to most.,No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Summer, Fall",,Yes,in sepaate sleeping rooms,"Forested areas, Meadowland, Trails",Campfire space(s),1 Campfire-40 in Chairs,"Access to water (lake, pond, river, stream, etc.)",2/1/2 acre Lake,,,,Ballfield,Very good food..freshly stone-ground bread and fruity caramel cinnamon rolls.,,campemeraldforest@yahoo.com,Small capacity,,,,-123.018786,45.899797,
Camp Namanu,Camp Fire Columbia,Clackamas,campnamanu.org,Andy Lindberg,Director of Namanu Programs and Facilities,alindberg@campfirecolumbia.org,971-340-1593,"10300 SE Camp Namanu Rd, Sandy, OR 97055","619 SW 11th Ave Suite 234 PDX, OR 97205",No,,,,,,,Yes,MESD ODS,Change of rental needs,Yes,,No,,,"Archery, ropes/challenge course, horse program",Yes,Yes,Negotiable,No,Yes,Negotiable,Negotiable,Yes,552,250,300,Yes,,Yes,,"3 or less of sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,,"Ropes course, Climbing wall, Pool, Forested areas, Meadowland, Trails",Campfire space(s),,"Access to water (lake, pond, river, stream, etc.)",,Covered outdoor spaces,,,,,,,Sleeping spaces are not weatherized; sleeping units and campfire are not ADA accessible,,"Bridger K-8 School – Portland, Cedarwood Waldorf School – Portland, Clear Creek Middle School – Gresham, Da Vinci Middle School – Portland, Floyd Light Middle School – Portland, Gray Middle School – Portland, Hosford Middle School – Portland, Jackson Middle School – Portland, Laurelhurst Elementary School – Portland, Martin Luther King Jr. School – Portland, St Andrew Nativity School – Portland, Sunnyside Environmental School – Portland, Walt Morey Middle School – Troutdale, West Orient Middle School – Gresham, West Sylvan Middle School – Portland, St Rose School – Portland, Corbett Middle School – Corbett, Oregon Episcopal School – Portland, Roseway Heights School – Portland, Dexter McCarty Middle School – Gresham, All Saints School – Portland, Cathedral School – Portland, Oregon Trail Academy – Boring, Welches Middle School – Sandy, Boise-Eliot Elementary School – Portland, George Middle School – Portland, Lee K-8 School – Portland, Lent Elementary School – Portland, Mt Tabor Middle School – Portland, Ockley Green Middle School – Portland, Sellwood Middle School – Portland, Metropolitan Learning Center – Portland, Hauton B Lee Middle School – Portland, Reynolds Middle School – Fairview, Irvington Elementary School – Portland",,-122.2420445,45.447467,Butler Creek Elementary School – Portland
Camp Onahlee,Camp Fire USA Portland Metro Council,Clackamas,,Jodi Kirkpatrick,Office Manager,jodik@campfireusamthood.org,503-656-2530 ext. 10,"15706 S Highway 211, 97038-8495 Molalla, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,100 (GFF) (EEAO),100 (GFF) (EEAO),yes (GFF) (EEAO),,,,,,,,,,,,,,,,,,,,,,,,,,,Closed,Only the dining hall is ADA accessible and weatherized; lacking 100 dining seats,,,,,
Camp Wilani,Camp Fire Wilani,Lane,wilanicouncil.org,Barbara Utt,Executive Director,barbara@wilanicouncil.org,541-342-6338 x103,24487 Bolton Hill Road Veneta OR  97487,"380 Q ST STE 260, Springfield OR  97477",No,,,,,,,Yes,Territorial School - 3 or 4 times over the past 10 years,New people at the school,Yes,,No,,,,Yes,Yes,Negotiable,No,No,No,No,No,11.4,60,100,Yes,,No,,"3 or less of sleeping units, Campfire space(s)",No,Would need more information to determine,,health office facility,"Portable chemical toilets, Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,Spring,,No,,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),varies by campfire site,"Access to water (lake, pond, river, stream, etc.)",lagoon with creek running through,,,,,,,,"Sleeping units, field studies, showers, toilets, and dining hall are not ADA accessible; sleeping spaces, dining hall, and bathrooms are not weatherized",,,,-123.3710206,44.0331489,
Camp Kiwanilong,Camp Kiwanilong Board Inc.,Clatsop,www.campkiwanilong.org,Amy Koch,Ranger,campkiwanilongreservations@gmail.com,503.741.5975,"595 SW Ridge Road Warrenton, OR 97146","PO Box 128 Warrenton, OR 97146",Yes,"OMSI Outdoor School Program, Jackson Middle School, Portland, Wilson School, Corvalis, Lewis & Clark Elementary, Astoria, Cascades Academy, Bend",approximately 10 weeks and 1090 students,,"No, we are able to host additional schools",,,,,,,,No,,,"Activity center with classroom type facilities, lake with swimming, canoeing and fishing, hiking trails that lead to Fort Stevens State Park and beach access",,Yes,No,No,Yes,No,No,No,270,120,120+,Yes,,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Summer, Fall",Mid- June through July is unavailable,Yes,2 staff cabins with electricity sleep 6 each,"Forested areas, Meadowland, Trails",Campfire space(s),120+,"Access to water (lake, pond, river, stream, etc.)","lake onsite with swim docks, fishing docks, boathouse and canoes",Covered outdoor spaces,"LARGE covered shelter with stage, indoor firepit and picnic stlye seating for 150, a smaller covered shelter approx.14ft. x 30ft with picnic tables",,,We hosted OMSI Outdoor School Programs for 30 years. The opening of their new facility will open up the availability of Camp Kiwanilong to host many other potential Outdoor School Programs,,,,Campsites and cabins,"Lewis & Clark Elementary School – Astoria, Lewelling Elementary School – Milwaukie",,-123.946058,46.156495,Lewelling Elementary School – Milwaukie
Camp Lutherwood Oregon,Camp Lutherwood Association,Lane,lutherwoodoregon.org,Vicky Hart (NO LONGER THERE-GET CORRECT CONTACT),Communication & Outreach Coordinator,vicky@lutherwoodoregon.org,5419986444,"22960 Hwy 36, Cheshire, OR 97419","22960 Hwy 36, Cheshire, OR 97419",Yes,"Oak Hill School, O'Hara Catholic School, El Camino del Rio Elementary School, Fern Ridge Middle School, Adams Elementary School, Laurel Elementary School, Territorial Elementary School",,Yes,"No, we are able to host additional schools","NO, we could have hosted additional schools",,,,,,,Yes,"challenge course elements, climbing wall, night hikes, campfire",,"pool, creek",Maybe - need more information,Yes,Negotiable,No,Yes,Negotiable,Yes,Yes,71,157,170,Yes,,Yes,,"More than 3/less than all sleeping units, Toilets, Campfire space(s)",Would need more information to determine,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,They would be in a next-door cabin separated by a wall,"Ropes course, Climbing wall, Pool, Forested areas, Meadowland, Trails",Campfire space(s),"6 campfire spaces; seating for 10-20 at 4, seating for 30-80 at 2","Access to water (lake, pond, river, stream, etc.)",creek with numerous access points,Covered outdoor spaces,1 large picnic shelter,Other amenities/resources,"nurse's/leaders' cabin, stargazing platform,",,,,,Permanent tents and campsites,"McCornack Elementary School – Eugene, Territorial Elementary School – Junction City, Oak Hill School – Eugene",,-123.439719,44.163768,
Camp Makuala,Camp Makuala Corporation,Tillamook,none,Macy Yates,Board Member,sidmactrask@hotmail.com,503-298-9474,"23775 Trask River Road West, Tillamook, OR 97141","7125 Alderbrook Road, Tillamook, OR 97141",No,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,Currently camp facilities could serve small and private schools of about 60 people.,No,,,Yes,,No,,,Forest and Aquatic Education,Maybe - need more information,Yes,No,No,Negotiable,No,Negotiable,Negotiable,20,60,60,Negotiable,nene,No,none,Dining hall,Would need more information to determine,Yes,,"Some sleeping units, Dining hall","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",Old and primitive but still work,"Winter, Spring, Fall",Building need more work for winter operation,Yes,2 cabins,"Forested areas, Meadowland, Trails",Campfire space(s),80,"Access to water (lake, pond, river, stream, etc.)",Trask River,Covered outdoor spaces,large outdoor lodge 50' X 100',,Excellend old growth and younger forest available for study,Camp has great potential for smaller schools,unknown,n/a,Sleeping units and bathroom facilites are not weatherized; only the dining hall is ADA accessable,Sleeping units and campfire spaces are not ADA accessible; no sleeping units are weatherized,,,-123.6292997,45.4477618,
Camp Melacoma,Camp Melacoma Association,Washington,campmelacoma.com,Dodi Jensen,Property Mngr & Board Member,dodi@rivertalknews.com,3608373699,"13311 Washougal River Rd, Washougal, WA 98671",Get directions,No,,,,,,,Yes,"Evergreen School Dist., WA",Water treatment required,Yes,,No,,,"Crafthouse, canoe pond, archery, swimming",Yes,Yes,No,No,Yes,No,No,Yes,142,156 beds,200,Negotiable,,No,,"All sleeping units, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,Dining hall,"Permanent chemical toilets in separate bathroom facility, Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,No,,"Pool, Forested areas, Meadowland, Trails",Campfire space(s),13,"Access to water (lake, pond, river, stream, etc.)",pond and multiple streams,Covered outdoor spaces,1 ea 30'x40'   1 each 20'x30',,,non-profit youth camp,Camp WaRiKi and Salmon Falls Retreat Center,dodi@rivertalknews.com,Sleeping units and bathrooms need to be weatherized; toilets and showers are not ADA accessible,,,,-122.1792965,45.6273377,
Camp Taloali,Camp Taloali Inc,Marion,http://www.taloali.org/general-info,Sylvia Hall- James Smith,Vice Chair,camp@taloali.org,"503-877-3864  camp, 971-239-8153 sylvia","13311 Washougal River Rd, Washougal, WA 98671","13311 Washougal River Rd, Washougal, WA 98671",No,,,yes,,"NO, we could have hosted additional schools",We are in the development process for more outdoor programs as well as being a rental facility for other outdoor camp programs.,,,,Yes (Info from survey #1),,yes (Info from survey #1),"Last year AmeriCorps wrote the curriculum for outdoor programs based on the next generation Science Standards. The Curriculum developed is in 3 sections. one for primary, one for intermediate and one for high school. Since currently during the off season of the summer camps there is only one person working at camp so the idea for the curriculum was setting it up that if we could not get a paid staff to get this program started that schools coming in with their teachers could take from the curriculum and the materials would be set up for this. The only program that currently comes in to this camp is the Oregon School for the Deaf and it does a one day school in the woods program in the fall and sometimes also in the spring. (Info from survey #1)",,"Archery, STEM, theater, crafts, sruvival skills, horses, outdoor education, water rafting, zip line, paintball, sports",,,,Yes*,Yes*,Yes*,,,111,80,49- they want to expand it to 100,yes,If your child has a gluten allergy or diabetic diet there will be a separate meal available for them. All other allergies will have an option within the meal that they can choose. We are a nut safe facility. Camp Talaoli follows the Oregon Health Authority food guide in planning a balanced and kid friendly menu.,Yes,,,,,,"All sleeping units, Dining hall, Bathroom facilities","Showers in separate bathroom facility, Plumbed toilets in separate bathroom facility",Restroom Facility - a bathroom comes with 5 shower stalls each with capacity of 100 guests.,,,,,"trails, pool, ropes course, climbing wall",campfire space(s),,"Access to water (lake, pond, river, stream, etc.)",river?,Covered outdoor spaces,"Picnic Shelter - This building is an open shelter with refrigerator, pellet barbecue, picnic tables, sink, and electrical outlets.",,"Sports include soccer, softball, disc golf, volleyball, 
basketball, and archery. Also included in the program are arts and 
crafts, theater and visual arts, survival skills, horseback riding 
program (extreme adventure package only), S.T.E.M. (Science, Technology,
 Engineering, and Mathematics) projects, rope and challenge courses, 
outdoor education, campfires activities and the totem pole built yearly 
by the older campers and leaders in training (former counselor in 
training)","Our priority is to ensure campers, deaf and hearing alike, feel safe during their stay at Camp Taloali. We are not only dealing with ethnicity and religious backgrounds but also communication modalities, one of the most diverse cultural group in the country. We are striving hard to accommodate your child's communication preference and ensure his or her safety. Camp Taloali Administration team is made up of licensed educators by profession and we train our staff to accommodate each camper with one goal in mind: each camper deserves an educational fun experience at Camp Taloali and no one is to be turned down, no matter his or her communication preference.",,,,"""Large, framed 2-man tents, provided framed tents, open door cabins""",,,-122.1792965,45.6273377,
Camp Tapawingo,"Camp Tapawingo, Inc.",Polk,www.camp-tapawingo.com,Jane Schmidt,Program Coordinator,tapawingocamp@gmail.com,503-787-3828,"22505 Black Rock Rd., Falls City, OR","P.O. Box 189, Falls City, OR  97344",Yes,"Dallas, Perrydale",3 weeks..450 students,,"No, we are able to host additional schools",,,,,,,We are interested in hosting our own program....not hosting those who run their own programs.,Yes,The program is tailored to each school.  We offer 6..2 hour workshop sessions spread out over 2 days,Common Core State Standards,"Canoeing, Challenge Course",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,160,168,110,Yes,we handle it case by case. We are not an allergy free kitchen and those with severe allergies need to bring their own food.,No,,"3 or less of sleeping units, Showers, Dining hall",Yes,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",we have a seperate bathroom/shower facility in addition to those in the sleeping rooms,"Winter, Fall",,Yes,6 rooms with one bunk bed in each room,"Ropes course, Pool, Forested areas, Meadowland, Trails",Campfire space(s),150-168,"Access to water (lake, pond, river, stream, etc.)","pond, river, creek,",,,,,"We are booked most every weekend with guest groups, so, we would be unable to accommodate a 5 day Outdoor School program",,,,,"Luckiamute Valley Charter School – Monmouth, Perrydale School – Amity, Riviera Christian School – Salem, Whitworth Elementary School – Dallas, LaCreole Middle School – Dallas",,-123.4925258,44.873743,
